Note: [none]
Total # of Iterations:	2e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.7841	6	479.9097	479.5683	1.018738	0.4385901	
Model:	mcombrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
0.1986661	12.1365	382	0.1464641	
0.08226787	13.12328	258.1	0.07810635	
0.07064392	13.41941	213.9	0.05678727	
0.03355328	13.12578	313.9	0.09414954	
0.07154471	13.75114	200	0.04675625	
0.09808652	12.33429	448.9	0.1485953	
0.04748416	13.37264	267.3	0.07501406	
0.1259869	13.44884	321.5	0.08678726	
0.05763474	13.45395	199.8	0.05123893	
0.1068164	12.74955	359.4	0.1168593	
0.1348452	12.55089	335.1	0.1184232	
0.149858	12.19674	348.1	0.1356929	
0.1437259	12.10822	338	0.1365679	
0.04349623	12.14503	141.1	0.04538863	
0.09018941	12.34522	353.4	0.1309635	
0.07338176	11.82288	322.3	0.1437447	
0.04840161	11.73981	285.4	0.1325902	
0.1039761	12.75106	446.3	0.1303543	
0.1173053	11.96879	541	0.1753375	
0.1305473	12.25463	292.8	0.1160328	
0.03379989	12.49898	277.9	0.1023755	
0.1174534	11.61853	326.3	0.1544277	
0.05003962	12.56447	252.3	0.09059434	
0.09789741	12.8414	218.7	0.06997921	
0.03536019	12.54195	304.8	0.1100766	
0.04882452	13.19164	199.1	0.05533926	
0.07868437	11.68466	445.6	0.180745	
0.04198474	12.74521	252.4	0.08570311	
0.09480179	12.92051	323.4	0.1027931	
0.07480113	12.89171	202.2	0.06206036	
0.26936	12.25136	360.2	0.1364848	
0.189034	12.06719	341.6	0.1393498	
0.3093132	11.65683	355.5	0.162275	
0.2482097	11.55707	326.3	0.1573269	
0.04001177	11.61297	147.8	0.05749678	
0.1178683	11.78407	362.9	0.158204	
0.0556492	11.27962	322	0.169271	
0.1127203	11.05442	335.5	0.1867992	
0.1548122	12.19787	532	0.1628709	
0.2486419	11.4048	666.6	0.2142886	
0.3110653	11.72189	305.6	0.1418607	
0.0837598	11.98467	334.9	0.1408811	
0.228604	11.00224	425	0.2176031	
0.1205257	11.95345	333.6	0.1418234	
0.1291197	12.41273	260.8	0.0984551	
0.06625869	11.93446	382.1	0.1558293	
0.09849051	12.7014	207.7	0.06827876	
0.5828131	11.36156	368.2	0.1813923	
0.3738774	11.2134	349.9	0.1835107	
0.5811849	10.68792	390.2	0.2290472	
0.5059657	10.54402	373.1	0.2329036	
0.07626182	10.63039	163	0.08983694	
0.2310098	10.73044	373.2	0.2205938	
0.1078383	10.28368	333.4	0.2329419	
0.1626592	9.905245	376.8	0.2811725	
0.29091	11.18799	612.7	0.226639	
0.4185128	10.32817	799.9	0.2974562	
0.478777	10.55143	353.3	0.2245713	
0.2128957	10.89882	371.2	0.2092507	
0.4040281	9.824873	454	0.3137689	
0.197504	10.75392	385.2	0.2230843	
0.2710632	11.31034	295.9	0.1561172	
0.1525367	10.71864	444.8	0.241047	
0.1960562	11.61003	231.9	0.1099385	
0.3262517	10.01994	506.9	0.3073594	
0.138568	11.08017	279.3	0.1583505	
0.2202332	11.42356	318.8	0.1608218	
0.1085746	12.07944	359	0.1435716	
0.1229677	11.90305	336.2	0.1448482	
0.1445175	11.48727	350.7	0.1692773	
0.127417	11.36707	340.7	0.1720305	
0.04128587	11.44162	143.3	0.05763277	
0.09253699	11.5831	355.1	0.1658172	
0.09946053	11.09165	322.9	0.1794437	
0.0596355	10.91769	297.7	0.176457	
0.1932361	12.02929	458.8	0.164479	
0.2550653	11.21354	572.6	0.2226928	
0.237985	11.43551	302.1	0.1531575	
0.07283805	11.72606	288.3	0.134428	
0.1092085	10.77581	335.8	0.2029736	
0.06899374	11.70423	270.5	0.12709	
0.09069465	12.07968	228.8	0.093717	
0.04204381	11.67049	323.4	0.1509626	
0.1004605	12.4234	201.1	0.07120507	
0.0970911	10.83334	452.6	0.2345797	
0.06027039	11.95002	256.5	0.1114487	
0.1406959	12.1936	322.7	0.1284625	
0.1143764	12.11509	203.9	0.07978406	
0.07969127	11.77294	358.8	0.157597	
0.0690587	11.61888	335.6	0.1577126	
0.09859162	11.17159	351.5	0.1863908	
0.06142529	11.03588	346.2	0.1920815	
0.01988913	11.13217	144.3	0.06394398	
0.0460038	11.23782	355.8	0.1842156	
0.03301357	10.76736	320.7	0.1964495	
0.02011435	10.55713	299.2	0.1970359	
0.09045893	11.71132	459.5	0.1813181	
0.1403275	10.87116	584.4	0.2473551	
0.1341438	11.06629	311.1	0.1754215	
0.02887239	11.36616	293.3	0.1522907	
0.04479617	10.40011	332.7	0.2249134	
0.02434118	11.3142	276.5	0.1461849	
0.05118988	11.72756	233.4	0.1069255	
0.02165737	11.268	330.6	0.1733532	
0.06356096	12.07103	202	0.07983912	
0.3170893	11.36243	360.9	0.1790957	
0.2377955	11.21471	337.3	0.1787764	
0.3464311	10.70226	358	0.2167652	
0.2816574	10.55819	361.3	0.2274141	
0.09565752	10.65748	148.7	0.07718162	
0.1990407	10.74932	358.1	0.213832	
0.1211196	10.27977	322	0.2270691	
0.1466144	10.04482	306.6	0.2331809	
0.2626483	11.26267	479.1	0.2104797	
0.3644781	10.39393	622.5	0.2868027	
0.283016	10.56176	331.7	0.2141331	
0.1164069	10.91	303.2	0.1797478	
0.2163242	9.910485	331.8	0.2580289	
0.1126222	10.81058	289.8	0.1776908	
0.2184333	11.25379	243.3	0.1296076	
0.1012387	10.75417	347.1	0.2091282	
0.1816787	11.60485	204.2	0.09339369	
0.1813105	9.91548	458.2	0.3069332	
0.1076421	11.08597	255.8	0.1442267	
0.2435312	11.4141	319.6	0.1616046	
0.1752625	11.99493	557	0.1749388	
0.121445	11.90282	632.8	0.183316	
0.1414086	11.21308	762	0.2289362	
0.1390418	10.82874	567.7	0.2492847	
0.08112583	10.92854	306.9	0.1806489	
0.08830946	11.12806	503.6	0.2222749	
0.07755052	10.84717	428.3	0.2285782	
0.1060988	10.35224	722.2	0.2940276	
0.1035995	11.56453	889.2	0.2069092	
0.1193004	10.65089	1430.6	0.2722267	
0.147881	10.90389	608.7	0.2464005	
0.09275033	11.18644	551.8	0.2230171	
0.1607469	10.31331	582.8	0.2909018	
0.1034699	11.10675	481.1	0.2207989	
0.1036026	11.68766	365.4	0.1636074	
0.07726855	11.13128	584.3	0.2289754	
0.09549652	11.82421	366.2	0.1571672	
0.0982538	10.1593	1019.7	0.3135069	

Likelihood History
Iteration	Temperature	Likelihood
0	5	-235.4497	
7.166667	5	-235.1407	
7.333333	5	-234.7875	
16	5	-234.7179	
16.16667	5	-234.6286	
16.66667	5	-234.4544	
20.33333	5	-234.3831	
25.16667	5	-234.3608	
25.33333	5	-234.357	
25.5	5	-234.3561	
35.16667	5	-234.2099	
35.33333	5	-234.1894	
35.5	5	-234.1029	
188.3333	5	-233.8689	
1000	5	-233.8689	
1076.833	5	-233.8315	
2000	4.875	-233.8315	
3000	4.875	-233.8315	
4000	4.753125	-233.8315	
5000	4.753125	-233.8315	
5169.833	4.753125	-233.8171	
6000	4.634297	-233.8171	
7000	4.634297	-233.8171	
8000	4.518439	-233.8171	
9000	4.518439	-233.8171	
10000	4.405478	-233.8171	
10685.83	4.405478	-233.8167	
11000	4.405478	-233.8167	
12000	4.295342	-233.8167	
13000	4.295342	-233.8167	
14000	4.187958	-233.8167	
15000	4.187958	-233.8167	
16000	4.083259	-233.8167	
17000	4.083259	-233.8167	
18000	3.981178	-233.8167	
19000	3.981178	-233.8167	
20000	3.881648	-233.8167	
20992.33	3.881648	-233.7994	
21000	3.881648	-233.7994	
22000	3.784607	-233.7994	
23000	3.784607	-233.7994	
24000	3.689992	-233.7994	
25000	3.689992	-233.7994	
26000	3.597742	-233.7994	
27000	3.597742	-233.7994	
28000	3.507798	-233.7994	
29000	3.507798	-233.7994	
30000	3.420103	-233.7994	
31000	3.420103	-233.7994	
32000	3.334601	-233.7994	
33000	3.334601	-233.7994	
34000	3.251236	-233.7994	
35000	3.251236	-233.7994	
36000	3.169955	-233.7994	
37000	3.169955	-233.7994	
38000	3.090706	-233.7994	
39000	3.090706	-233.7994	
40000	3.013438	-233.7994	
41000	3.013438	-233.7994	
42000	2.938102	-233.7994	
43000	2.938102	-233.7994	
44000	2.86465	-233.7994	
45000	2.86465	-233.7994	
46000	2.793034	-233.7994	
47000	2.793034	-233.7994	
48000	2.723208	-233.7994	
49000	2.723208	-233.7994	
50000	2.655128	-233.7994	
51000	2.655128	-233.7994	
52000	2.588749	-233.7994	
53000	2.588749	-233.7994	
54000	2.524031	-233.7994	
55000	2.524031	-233.7994	
56000	2.46093	-233.7994	
57000	2.46093	-233.7994	
58000	2.399407	-233.7994	
59000	2.399407	-233.7994	
60000	2.339421	-233.7994	
61000	2.339421	-233.7994	
62000	2.280936	-233.7994	
63000	2.280936	-233.7994	
64000	2.223913	-233.7994	
65000	2.223913	-233.7994	
66000	2.168315	-233.7994	
67000	2.168315	-233.7994	
68000	2.114107	-233.7994	
69000	2.114107	-233.7994	
70000	2.061254	-233.7994	
71000	2.061254	-233.7994	
72000	2.009723	-233.7994	
73000	2.009723	-233.7994	
74000	1.95948	-233.7994	
74528.33	1.95948	-233.7941	
75000	1.95948	-233.7941	
76000	1.910493	-233.7941	
77000	1.910493	-233.7941	
78000	1.86273	-233.7941	
79000	1.86273	-233.7941	
80000	1.816162	-233.7941	
81000	1.816162	-233.7941	
82000	1.770758	-233.7941	
83000	1.770758	-233.7941	
84000	1.726489	-233.7941	
85000	1.726489	-233.7941	
86000	1.683327	-233.7941	
87000	1.683327	-233.7941	
88000	1.641244	-233.7941	
88601	1.641244	-233.7939	
88601.17	1.641244	-233.7895	
88606.83	1.641244	-233.7868	
88607	1.641244	-233.7865	
88607.67	1.641244	-233.7865	
88607.83	1.641244	-233.7862	
89000	1.641244	-233.7862	
90000	1.600213	-233.7862	
91000	1.600213	-233.7862	
92000	1.560207	-233.7862	
93000	1.560207	-233.7862	
94000	1.521202	-233.7862	
95000	1.521202	-233.7862	
