parameter,best_pars,lower_si,upper_si
MR,0.5964771485647707,0.20876700199766995,0.9698158321101576
Ta,0.28593399379592965,-0.056986864404889884,0.6138263368359242
k,-1.5608091738686038,-1.7,0.014719318666855405
Topt,9.889263479803951,6,11.403659227429431
Popt,851.2658602204352,85.12658602204434,3035.5886102154313
Pb,1.1760338806754573,0.3998515194296555,1
