year,npp,npp_qc,gpp,site_code,sp_elev,sp_code,elev_code,elev,Specie
2005,628.9000000000001,3,1124.7,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2005,518.9,9,795.5,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2005,556.6,8,964.7,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2005,658,11,1318.4,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2005,649,7,1193,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2005,841.3000000000001,16,1344.9,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2005,790.7,18,1274.3000000000002,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2005,602,18,1109.1,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2006,608.7,5,1011.1,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2006,278,14,458.4,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2006,499.6,14,751.9000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2006,663,6,1113,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2006,667.2,11,1194.1,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2006,693.9000000000001,11,1199.9,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2006,553.5,7,829.6,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2006,589.2,5,995.9,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2006,709.1,18,1367.9,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2006,696.4000000000001,9,1268.3000000000002,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2006,897.8000000000001,22,1400.1,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2006,841.1,27,1338.6,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2006,610.8000000000001,22,1166.5,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2007,686.8000000000001,3,1078.4,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2007,304.90000000000003,11,481.7000000000001,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
2007,584.6,7,854.9000000000001,PIHAL_RAGUA_H,halepensis_high,halepensis,high,1359,P. halepensis
2007,767.9000000000001,0,1221.8,PINIG_LANTEIRA_L2,nigra_low,nigra,low,1585,P. nigra
2007,835.5,11,1404.6,PINIG_LANTEIRA_H,nigra_high,nigra,high,1810,P. nigra
2007,806.3000000000001,0,1312.4,PINIG_LANTEIRA_M,nigra_medium,nigra,medium,1646,P. nigra
2007,611.4,3,891.2,PIPIN_LANTEIRA_L2,pinaster_low-Dec,pinaster,low-Dec,1433,P. pinaster
2007,713,7,1141.7,PIPIN_JEREZ_L,pinaster_low,pinaster,low,1353,P. pinaster
2007,866.4000000000001,3,1501.3000000000002,PIPIN_JEREZ_M,pinaster_medium,pinaster,medium,1605,P. pinaster
2007,826,11,1397.2,PIPIN_JEREZ_H,pinaster_high,pinaster,high,1770,P. pinaster
2007,920.2,17,1396.2,PISYL_PORTUGOS_L,sylvestris_low,sylvestris,low,1633,P. sylvestris
2007,844.5,14,1305.8000000000002,PISYL_PORTUGOS_M,sylvestris_medium,sylvestris,medium,1748,P. sylvestris
2007,785.8000000000001,17,1336.2,PISYL_PORTUGOS_H,sylvestris_high,sylvestris,high,2000,P. sylvestris
2008,637.3000000000001,5,1026.3,PIHAL_NACIMIENTO_M,halepensis_medium,halepensis,medium,1212,P. halepensis
2008,244,16,391.6,PIHAL_NACIMIENTO_L,halepensis_low,halepensis,low,974,P. halepensis
