sp_code,elev_code,sp_elev,mean_tau,mean_pvalue_mk,mean_senslope,mean_pvalue_sen,ypos,p_value_string,taulabel,Specie
halepensis,high,halepensis_high,0.24624624848365784,0.03301858901977539,8.378764495499657e-4,0.033018552003800605,0.49,*,"tau == ""0.246*""",P. halepensis
halepensis,low,halepensis_low,0.07807807624340057,0.5047574043273926,2.454073268619843e-4,0.504757480200261,0.43,,"tau == ""0.078""",P. halepensis
halepensis,medium,halepensis_medium,0.3213213086128235,0.005339503288269043,0.0012609072192913892,0.00533955264533267,0.46,**,"tau == ""0.321**""",P. halepensis
nigra,high,nigra_high,0.7269842028617859,0,0.002608685621204926,4.823287302795654e-10,0.49,***,"tau == ""0.727***""",P. nigra
nigra,low,nigra_low,0.36636635661125183,0.0014821290969848633,0.0012827435881144157,0.0014820878099114875,0.43,**,"tau == ""0.366**""",P. nigra
nigra,medium,nigra_medium,0.49849849939346313,1.5020370483398438e-05,0.0013627518398654699,1.4971336725321082e-5,0.46,***,"tau == ""0.498***""",P. nigra
pinaster,high,pinaster_high,0.6096096038818359,1.1920928955078125e-7,0.0043081508774887554,1.1775493207661924e-7,0.49,***,"tau == ""0.61***""",P. pinaster
pinaster,low,pinaster_low,0.3963963985443115,5.822181701660156e-4,0.0017518363692266363,5.822608927831489e-4,0.43,***,"tau == ""0.396***""",P. pinaster
pinaster,low-Dec,pinaster_low-Dec,0.4744744598865509,3.790855407714844e-5,0.001580193602446819,3.791231209624539e-5,0.4,***,"tau == ""0.474***""",P. pinaster
pinaster,medium,pinaster_medium,0.3033033013343811,0.008567333221435547,0.0012607323532679254,0.008567285246380816,0.46,**,"tau == ""0.303**""",P. pinaster
sylvestris,high,sylvestris_high,0.28828829526901245,0.012487292289733887,8.924335265400674e-4,0.012487283446043359,0.49,*,"tau == ""0.288*""",P. sylvestris
sylvestris,low,sylvestris_low,0.0030030030757188797,0.9895648956298828,4.591043730479112e-6,0.9895648601306644,0.43,,"tau == ""0.003""",P. sylvestris
sylvestris,medium,sylvestris_medium,0.19819819927215576,0.08665120601654053,7.448343563338806e-4,0.08665121458761962,0.46,,"tau == ""0.198""",P. sylvestris
