site_code,Specie,year,sp_elev,sp_code,elev_code,season,variable,mean,sd,se,cv,median,sum,min,max,n
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,autumn,evi,0.18574000000000002,0.015490255001128932,0.006927452634266074,8.339751804204226,0.1855,0.9287000000000001,0.16090000000000002,0.1993,5
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,autumn,ndvi,0.45866,0.09036112549099863,0.0404107238242524,19.701113131949295,0.4796,2.2933000000000003,0.3347,0.5594,5
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,spring,evi,0.17945,0.009768060196374719,0.003987793876318086,5.443332514000958,0.18185,1.0767,0.1638,0.19140000000000001,6
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,spring,ndvi,0.3925,0.01633927782981856,0.0066704822414375255,4.16287333243785,0.38970000000000005,2.355,0.37720000000000004,0.41550000000000004,6
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,summer,evi,0.15908333333333335,0.020009639343742974,0.008168901054881524,12.578086543997676,0.1678,0.9545000000000001,0.1213,0.1729,6
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,summer,ndvi,0.30265000000000003,0.03671276344815247,0.014987922915912444,12.130435634611752,0.3138,1.8159,0.23240000000000002,0.331,6
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,winter,evi,0.16660000000000003,0.017946866021676326,0.010361627928724975,10.77242858443957,0.15710000000000002,0.4998,0.1554,0.18730000000000002,3
PIHAL_NACIMIENTO_L,P. halepensis,2000,halepensis_low,halepensis,low,winter,ndvi,0.48260000000000003,0.082434762084936,0.047593732080320555,17.081384601105675,0.5094000000000001,1.4478,0.3901,0.5483,3
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,autumn,evi,0.17562,0.028923467980171404,0.012934968109740359,16.469347443441183,0.1789,0.8781000000000001,0.1391,0.20320000000000002,5
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,autumn,ndvi,0.47290000000000004,0.11962213423944584,0.0534966447546012,25.295439678461797,0.504,2.3645,0.3355,0.6071000000000001,5
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,spring,evi,0.19908333333333333,0.012662293104594704,0.005169359513303149,6.360297917753724,0.19425,1.1945000000000001,0.1857,0.2187,6
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,spring,ndvi,0.4247166666666667,0.060382660314585904,0.024651117847089843,14.217162888494894,0.40125,2.5483000000000002,0.3734,0.5146000000000001,6
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,summer,evi,0.17046666666666668,0.01399080650522573,0.005711722837969098,8.207356182181694,0.1674,1.0228,0.15380000000000002,0.1932,6
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,summer,ndvi,0.32393333333333335,0.027780832720900685,0.011341477465970253,8.576095715445776,0.31995,1.9436000000000002,0.28500000000000003,0.3653,6
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,winter,evi,0.18973333333333334,0.015041099250608867,0.006140503055758362,7.927494334474104,0.19240000000000002,1.1383999999999999,0.1699,0.2092,6
PIHAL_NACIMIENTO_L,P. halepensis,2001,halepensis_low,halepensis,low,winter,ndvi,0.5246666666666667,0.05513052391068549,0.02250694213891448,10.507723744095074,0.50905,3.1479999999999997,0.45270000000000005,0.5906,6
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,autumn,evi,0.18208000000000002,0.022645021527920868,0.010127161497675442,12.436852772364272,0.1953,0.9103999999999999,0.15560000000000002,0.2039,5
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,autumn,ndvi,0.44086000000000003,0.06261084570583596,0.028000421425399998,14.201979246435592,0.4496,2.2043,0.35300000000000004,0.5002,5
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,spring,evi,0.21858333333333335,0.01818212492165497,0.007422821416266041,8.318166186041159,0.22165,1.3115,0.1894,0.23900000000000002,6
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,spring,ndvi,0.4527333333333334,0.07565198389114898,0.030884793093761277,16.710053870817767,0.46585,2.7164,0.33080000000000004,0.5371,6
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,summer,evi,0.17341666666666666,0.022564433665985657,0.009211891469423883,13.011686880914365,0.17270000000000002,1.0405,0.1509,0.2063,6
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,summer,ndvi,0.3271,0.029378495536701663,0.011993720579258686,8.981502762672475,0.33865,1.9626000000000001,0.28200000000000003,0.3542,6
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,winter,evi,0.18495,0.02350972139350018,0.009597803568178158,12.711393021627565,0.18605,1.1097000000000001,0.1439,0.216,6
PIHAL_NACIMIENTO_L,P. halepensis,2002,halepensis_low,halepensis,low,winter,ndvi,0.5481166666666667,0.03900550815803669,0.015923932024192743,7.116278436714207,0.5508,3.2886999999999995,0.48500000000000004,0.5875,6
PIHAL_NACIMIENTO_L,P. halepensis,2003,halepensis_low,halepensis,low,autumn,evi,0.18738000000000002,0.028990808888335634,0.012965083879404716,15.471666607074198,0.1917,0.9369000000000001,0.1424,0.21480000000000002,5
