var,sp_elev,sp_code,elev_code,year,annual_value,annual_sd,annual_se
tmax,halepensis_high,halepensis,high,1971,16.37999998804641,8.23970618246227,0.43128593310152363
tmax,halepensis_high,halepensis,high,1972,16.406557387992983,7.447162608387358,0.3892694254140613
tmax,halepensis_high,halepensis,high,1973,17.796164358478702,7.923787789835146,0.4147500086727952
tmax,halepensis_high,halepensis,high,1974,17.916164402112567,7.386328102540123,0.3866180828969882
tmax,halepensis_high,halepensis,high,1975,17.19205479491247,7.832425348012971,0.4099678799051969
tmax,halepensis_high,halepensis,high,1976,16.328961746940195,7.427754906787702,0.3882549686004291
tmax,halepensis_high,halepensis,high,1977,17.223561630183703,6.750782905012061,0.35335212686963713
tmax,halepensis_high,halepensis,high,1978,17.04986303407852,7.921540490350399,0.41463237964164107
tmax,halepensis_high,halepensis,high,1979,17.36246579983463,7.968863834648018,0.4171093966918758
tmax,halepensis_high,halepensis,high,1980,17.3669398731547,8.050305863094517,0.4207962283789644
tmax,halepensis_high,halepensis,high,1981,19.018904114545208,7.5032409406931375,0.3927375805317087
tmax,halepensis_high,halepensis,high,1982,18.03150688720076,7.888064405212908,0.4128801612620781
tmax,halepensis_high,halepensis,high,1983,19.604383577385995,7.627695466139956,0.3992518281210565
tmax,halepensis_high,halepensis,high,1984,17.273770514733155,7.831319000105143,0.4093496016820941
tmax,halepensis_high,halepensis,high,1985,18.847945198294234,8.361553626275123,0.4376637198013351
tmax,halepensis_high,halepensis,high,1986,18.632328749356205,8.1147095941323,0.42474331264411697
tmax,halepensis_high,halepensis,high,1987,19.301917775036536,7.683875767619083,0.402192439498307
tmax,halepensis_high,halepensis,high,1988,18.943715847255103,7.808390371735147,0.40815110307793195
tmax,halepensis_high,halepensis,high,1989,18.593424662498578,7.83469744087451,0.4100868066810045
tmax,halepensis_high,halepensis,high,1990,18.514794503825986,7.820131118922142,0.4093243705436025
tmax,halepensis_high,halepensis,high,1991,18.075068485573546,8.670707102885553,0.4538455523423184
tmax,halepensis_high,halepensis,high,1992,17.696994561315233,7.493962248313105,0.39171568178060856
tmax,halepensis_high,halepensis,high,1993,17.452602730385244,7.6632364662498995,0.40111212909008903
tmax,halepensis_high,halepensis,high,1994,19.692054798831677,8.391143097638448,0.4392125035181713
tmax,halepensis_high,halepensis,high,1995,19.362465756560024,7.050963582817328,0.3690643016558993
tmax,halepensis_high,halepensis,high,1996,17.24781422406598,7.719463627901162,0.4035028277150156
tmax,halepensis_high,halepensis,high,1997,18.42054795761631,6.715685229129354,0.3515150305512045
tmax,halepensis_high,halepensis,high,1998,19.029863003182086,7.796594113535442,0.40809238737504916
tmax,halepensis_high,halepensis,high,1999,19.315068509480724,8.684330824756902,0.4545586505365364
tmax,halepensis_high,halepensis,high,2000,19.137431746623555,8.065396632874123,0.4215850355515844
tmax,halepensis_high,halepensis,high,2001,19.25890410501663,8.567271505160504,0.4484314857126475
tmax,halepensis_high,halepensis,high,2002,19.02931508364743,7.787348191402436,0.407608433691967
tmax,halepensis_high,halepensis,high,2003,18.616712330465447,9.082831301196554,0.4754171187897476
tmax,halepensis_high,halepensis,high,2004,18.17759562267469,8.06210418198627,0.4214129363867461
tmax,halepensis_high,halepensis,high,2005,18.476986276286922,8.435971936122755,0.4415589521666332
tmax,halepensis_high,halepensis,high,2006,18.446301358366664,8.306314210202903,0.43477235661712366
tmax,halepensis_high,halepensis,high,2007,18.115616412889466,7.711351845744073,0.40363060315726473
tmax,halepensis_high,halepensis,high,2008,17.763387973679873,7.8520339190502355,0.41043238784096936
tmax,halepensis_high,halepensis,high,2009,19.155342489664687,8.633725419780813,0.45190984257885125
tmax,halepensis_high,halepensis,high,2010,18.10301372147586,8.404258227035733,0.43989898076561185
tmax,halepensis_high,halepensis,high,2011,18.779725989250288,7.9577886947317324,0.41652969737405404
tmax,halepensis_high,halepensis,high,2012,19.00191254824237,8.93977546572312,0.46728954930478306
tmax,halepensis_high,halepensis,high,2013,17.990136988522256,8.045940292662827,0.4211437628912229
tmax,halepensis_high,halepensis,high,2014,18.784109610727388,7.763536142037387,0.4063620540636104
tmax,halepensis_high,halepensis,high,2015,19.318904123240955,7.955939722641552,0.4164329177516338
tmax,halepensis_high,halepensis,high,2016,18.68961749995341,7.947695545680359,0.41543270116708675
tmax,halepensis_high,halepensis,high,2017,19.74931505485757,8.307121954732114,0.4348146358981167
tmax,halepensis_high,halepensis,high,2018,18.055342477641695,8.105903090608896,0.4242823591822645
tmax,halepensis_high,halepensis,high,2019,19.31260271203028,7.868905607132413,0.41187734393773745
tmax,halepensis_high,halepensis,high,2020,19.676229505916762,8.086244600918873,0.42267477629830724
tmax,halepensis_high,halepensis,high,2021,19.281369865757146,8.130182766762342,0.4255532155154102
tmax,halepensis_high,halepensis,high,2022,19.50465119716733,9.248671377725797,0.6307541527231579
tmax,halepensis_low,halepensis,low,1971,18.278356166408486,7.8874046099274855,0.41284562599843794
tmax,halepensis_low,halepensis,low,1972,18.458196693430832,6.911616199450196,0.3612759661797025
tmax,halepensis_low,halepensis,low,1973,19.5876712276511,7.551834498850039,0.3952810836140188
tmax,halepensis_low,halepensis,low,1974,19.695342457131165,6.917314220338031,0.3620687742998398
tmax,halepensis_low,halepensis,low,1975,19.231232927923333,7.393601359133903,0.38699878254662035
tmax,halepensis_low,halepensis,low,1976,18.391803334970945,7.052510580739739,0.3686406334674665
tmax,halepensis_low,halepensis,low,1977,19.218082175842703,6.192471641912383,0.3241287797338441
tmax,halepensis_low,halepensis,low,1978,19.346575354223383,7.2166604125971325,0.37773727011631014
tmax,halepensis_low,halepensis,low,1979,19.530958892874523,7.2080960577971425,0.37728899129792365
tmax,halepensis_low,halepensis,low,1980,19.377868837346146,7.392174823640741,0.38639516786139283
tmax,halepensis_low,halepensis,low,1981,20.783561655593246,6.930288926157526,0.3627479014412892
tmax,halepensis_low,halepensis,low,1982,19.975342470979037,7.289492307686345,0.3815494657380376
tmax,halepensis_low,halepensis,low,1983,21.059726016162195,6.947609651122314,0.3636545096216068
tmax,halepensis_low,halepensis,low,1984,19.27732242000559,7.14910128130502,0.3736895102661337
tmax,halepensis_low,halepensis,low,1985,20.660821891157596,7.619431752635146,0.39881928558727153
tmax,halepensis_low,halepensis,low,1986,20.336438364525364,7.276083317191182,0.38084760709774224
tmax,halepensis_low,halepensis,low,1987,20.70246576674997,6.899256940494266,0.3611236130751265
tmax,halepensis_low,halepensis,low,1988,20.575683072616492,7.086973110390337,0.3704420187494657
tmax,halepensis_low,halepensis,low,1989,20.43698630398267,7.241787835036548,0.37905249951809217
tmax,halepensis_low,halepensis,low,1990,20.398904098876535,7.302524712030313,0.3822316129582877
tmax,halepensis_low,halepensis,low,1991,19.806027418946567,7.910992985193281,0.4140802979893532
tmax,halepensis_low,halepensis,low,1992,19.495081969297647,6.987544926908672,0.3652448243427958
tmax,halepensis_low,halepensis,low,1993,19.30465755723927,7.018010964265331,0.3673394827696888
tmax,halepensis_low,halepensis,low,1994,21.20849306812025,7.447166196091446,0.3898024942539426
tmax,halepensis_low,halepensis,low,1995,20.980547967675616,6.265532785056629,0.3279529747471927
tmax,halepensis_low,halepensis,low,1996,18.952185800166728,6.815396194358765,0.3562464659438549
tmax,halepensis_low,halepensis,low,1997,20.043835632115194,6.208913004172256,0.32498935996652306
tmax,halepensis_low,halepensis,low,1998,20.45753424526894,7.023894002499059,0.3676474150645934
tmax,halepensis_low,halepensis,low,1999,20.561095930125614,7.632670471850066,0.39951223182142587
tmax,halepensis_low,halepensis,low,2000,20.531420744181982,7.097456273596275,0.37098998246830556
tmax,halepensis_low,halepensis,low,2001,20.790410923631224,7.521674936449265,0.3937024599684771
tmax,halepensis_low,halepensis,low,2002,20.521917787316728,6.761113087900598,0.35389283335449634
tmax,halepensis_low,halepensis,low,2003,20.3131506573664,8.123882279603015,0.42522343294509374
tmax,halepensis_low,halepensis,low,2004,19.939617463799774,7.399743659544583,0.3867907972518433
tmax,halepensis_low,halepensis,low,2005,20.23260272822968,7.875585127086321,0.4122269659912669
tmax,halepensis_low,halepensis,low,2006,20.440821899779856,7.601149737993239,0.39786236120559965
tmax,halepensis_low,halepensis,low,2007,20.143013686349946,6.9829569609757005,0.36550467237925394
tmax,halepensis_low,halepensis,low,2008,19.83032790819804,7.385393477977021,0.3860407012451976
tmax,halepensis_low,halepensis,low,2009,20.93452052874108,8.034110840419096,0.4205245810616722
tmax,halepensis_low,halepensis,low,2010,19.914246517664765,7.859432227632138,0.41138148459191554
tmax,halepensis_low,halepensis,low,2011,20.81260274077115,7.518669438967874,0.3935451450403726
tmax,halepensis_low,halepensis,low,2012,20.902732259588817,8.244157311647072,0.4309290059161099
tmax,halepensis_low,halepensis,low,2013,20.113424657795527,7.523911360793594,0.3938195197687656
tmax,halepensis_low,halepensis,low,2014,21.091780815385793,7.223008739219294,0.3780695567185557
tmax,halepensis_low,halepensis,low,2015,21.451780815647073,7.628397483467491,0.3992885733873869
tmax,halepensis_low,halepensis,low,2016,20.95437156567808,7.360648368845335,0.3847472536705937
tmax,halepensis_low,halepensis,low,2017,21.5131506991713,7.718864617656056,0.4040238396116343
tmax,halepensis_low,halepensis,low,2018,20.25780820585277,7.535059141022169,0.394403021254307
tmax,halepensis_low,halepensis,low,2019,21.213424668246752,7.348989674722705,0.3846637002618337
tmax,halepensis_low,halepensis,low,2020,21.35081963982087,7.334716588462495,0.38339177779603406
tmax,halepensis_low,halepensis,low,2021,21.00383565458533,7.457858634058899,0.3903621620362402
tmax,halepensis_low,halepensis,low,2022,20.964651172105658,8.338277665721987,0.5686658168955468
tmax,halepensis_medium,halepensis,medium,1971,16.724383589012984,8.121943722245774,0.4251219642154844
tmax,halepensis_medium,halepensis,medium,1972,16.99754095207798,7.18621737738224,0.3756295996872134
tmax,halepensis_medium,halepensis,medium,1973,18.219452040816005,7.845754065798148,0.41066553687981844
tmax,halepensis_medium,halepensis,medium,1974,18.290958876152562,7.083850239042492,0.37078566791612444
tmax,halepensis_medium,halepensis,medium,1975,17.720821924078955,7.60795237054079,0.39821842726679757
tmax,halepensis_medium,halepensis,medium,1976,16.741256848059066,7.155108735538112,0.3740035249292328
tmax,halepensis_medium,halepensis,medium,1977,17.6378082432159,6.407031338700656,0.3353593475461126
tmax,halepensis_medium,halepensis,medium,1978,17.66849312978248,7.516042810619139,0.39340766102902447
tmax,halepensis_medium,halepensis,medium,1979,18.03506850347127,7.5229485592456005,0.3937691244324729
tmax,halepensis_medium,halepensis,medium,1980,17.869398917005363,7.6943204986619085,0.4021885752961074
tmax,halepensis_medium,halepensis,medium,1981,19.513150694925493,7.223819121797178,0.3781119740813272
tmax,halepensis_medium,halepensis,medium,1982,18.562739723675872,7.5959165379664,0.39758844299702495
tmax,halepensis_medium,halepensis,medium,1983,19.82986301330671,7.217287771254925,0.3777701075692634
tmax,halepensis_medium,halepensis,medium,1984,17.787431681742433,7.48083616014509,0.3910295701609505
tmax,halepensis_medium,halepensis,medium,1985,19.36547951894264,7.955125747704265,0.41639031235617735
tmax,halepensis_medium,halepensis,medium,1986,19.031780800754078,7.573843669532636,0.39643309625918305
tmax,halepensis_medium,halepensis,medium,1987,19.46876710669635,7.19948940665088,0.3768384985875894
tmax,halepensis_medium,halepensis,medium,1988,19.263387958860136,7.365136186853618,0.3849818356757562
tmax,halepensis_medium,halepensis,medium,1989,18.978356215072004,7.522712681221403,0.3937567780124051
tmax,halepensis_medium,halepensis,medium,1990,18.90082188958991,7.515410802545017,0.3933745802144979
tmax,halepensis_medium,halepensis,medium,1991,18.412328819379415,8.244437797923444,0.4315335971740113
tmax,halepensis_medium,halepensis,medium,1992,18.051092921710406,7.196310796977616,0.3761571911811778
tmax,halepensis_medium,halepensis,medium,1993,17.90328768148814,7.283512173738383,0.3812364512211719
tmax,halepensis_medium,halepensis,medium,1994,19.98438357131122,7.807076424643838,0.4086410566148659
tmax,halepensis_medium,halepensis,medium,1995,19.649863002724842,6.528107496808649,0.3416967633070164
tmax,halepensis_medium,halepensis,medium,1996,17.61939888573735,7.120495580612937,0.3721942663380056
tmax,halepensis_medium,halepensis,medium,1997,18.750958901235503,6.339287946684124,0.33181349634822654
tmax,halepensis_medium,halepensis,medium,1998,19.296438356948226,7.356201212733977,0.38504116941321054
tmax,halepensis_medium,halepensis,medium,1999,19.435616421372924,8.049369799124161,0.42132327146367693
tmax,halepensis_medium,halepensis,medium,2000,19.363661208439396,7.442139713817949,0.38900687450900284
tmax,halepensis_medium,halepensis,medium,2001,19.684109618565806,7.941061744613287,0.4156541687896573
tmax,halepensis_medium,halepensis,medium,2002,19.43041095080441,7.182077159008506,0.37592709989138107
tmax,halepensis_medium,halepensis,medium,2003,19.07013705625926,8.559777661007384,0.448039239982457
tmax,halepensis_medium,halepensis,medium,2004,18.55601092635608,7.589589408746416,0.3967141935297584
tmax,halepensis_medium,halepensis,medium,2005,18.846301345874185,8.075697419592887,0.4227013221014976
tmax,halepensis_medium,halepensis,medium,2006,18.976164387350213,7.856243159183645,0.4112145611202436
tmax,halepensis_medium,halepensis,medium,2007,18.656164392053263,7.256436800044996,0.37981926139075306
tmax,halepensis_medium,halepensis,medium,2008,18.287158472941872,7.6067219022465125,0.39760972331088357
tmax,halepensis_medium,halepensis,medium,2009,19.603835633356276,8.351112768385985,0.43711722032218114
tmax,halepensis_medium,halepensis,medium,2010,18.560547946577202,8.09281526860319,0.42359731126902556
tmax,halepensis_medium,halepensis,medium,2011,19.376164388656616,7.758926549247562,0.406120776949651
tmax,halepensis_medium,halepensis,medium,2012,19.56912567993738,8.577974486237132,0.44837790915338677
tmax,halepensis_medium,halepensis,medium,2013,18.722191822365538,7.832285694698882,0.4099605701166506
tmax,halepensis_medium,halepensis,medium,2014,19.650684949796492,7.474475348140475,0.3912319206027541
tmax,halepensis_medium,halepensis,medium,2015,20.054246599380285,7.821238699721775,0.4093823439722754
tmax,halepensis_medium,halepensis,medium,2016,19.52431693103144,7.6170741155240425,0.3981508421673148
tmax,halepensis_medium,halepensis,medium,2017,20.153150713607058,7.960636091151558,0.4166787369143775
tmax,halepensis_medium,halepensis,medium,2018,18.83561645664581,7.821339018680192,0.4093875949065479
tmax,halepensis_medium,halepensis,medium,2019,19.87068491243336,7.654183711015181,0.4006382862245685
tmax,halepensis_medium,halepensis,medium,2020,20.03770489575433,7.652736921124762,0.40001496687827653
tmax,halepensis_medium,halepensis,medium,2021,19.615616403867122,7.822642687137437,0.4094558320323127
tmax,halepensis_medium,halepensis,medium,2022,19.739069805588834,8.800980238871414,0.60022187047018
tmax,nigra_high,nigra,high,1971,13.851232867187834,8.680642211542683,0.45436557969678587
tmax,nigra_high,nigra,high,1972,13.962021844797446,7.971885877709155,0.4166971500779806
tmax,nigra_high,nigra,high,1973,15.527397245087036,8.44503006348924,0.44203307622238197
tmax,nigra_high,nigra,high,1974,15.585205483763186,7.757789451788256,0.4060612585483993
tmax,nigra_high,nigra,high,1975,14.686849306054311,8.26505233139142,0.43261261117102884
tmax,nigra_high,nigra,high,1976,13.584972653884053,7.652462640295168,0.4000006299896449
tmax,nigra_high,nigra,high,1977,14.583561638038452,7.146450981167833,0.3740623405161549
tmax,nigra_high,nigra,high,1978,14.243561637707769,8.476408340250847,0.44367549029305015
tmax,nigra_high,nigra,high,1979,14.856712355515729,8.558550153116679,0.44797498928294066
tmax,nigra_high,nigra,high,1980,14.898907108344341,8.60639130256971,0.44986327993788144
tmax,nigra_high,nigra,high,1981,16.91068493552404,8.008448253567742,0.41918133987431744
tmax,nigra_high,nigra,high,1982,15.69013699897348,8.427291582569072,0.44110460169597937
tmax,nigra_high,nigra,high,1983,17.572054762954583,8.160369750917665,0.427133274481185
tmax,nigra_high,nigra,high,1984,14.77513661361783,8.471487034767575,0.44281172089791937
tmax,nigra_high,nigra,high,1985,16.66164382096023,8.957767678522206,0.46887098959439255
tmax,nigra_high,nigra,high,1986,16.44931505518417,8.675453597611368,0.4540939952311124
tmax,nigra_high,nigra,high,1987,17.241917778531167,8.259661078274043,0.43233042008559136
tmax,nigra_high,nigra,high,1988,16.755464491296987,8.325571092338308,0.435184572404583
tmax,nigra_high,nigra,high,1989,16.16520546821699,8.337800789502989,0.43642043950174353
tmax,nigra_high,nigra,high,1990,16.004109609616947,8.186625350885425,0.4285075553936934
tmax,nigra_high,nigra,high,1991,15.742739726745919,9.255920796227924,0.48447703703459544
tmax,nigra_high,nigra,high,1992,15.289890716249337,7.882067823284721,0.41200228516416354
tmax,nigra_high,nigra,high,1993,15.113698638791908,8.136937802356995,0.42590679023822914
tmax,nigra_high,nigra,high,1994,17.65397260313573,9.070830334156135,0.4747889594654303
tmax,nigra_high,nigra,high,1995,17.140547926785196,7.544108335041279,0.39487667771728324
tmax,nigra_high,nigra,high,1996,14.96448086344642,8.27247925109474,0.4324094174063852
tmax,nigra_high,nigra,high,1997,16.211232865448682,6.973388173511014,0.3650038191523341
tmax,nigra_high,nigra,high,1998,17.08383559854063,8.419925764611913,0.4407190571631572
tmax,nigra_high,nigra,high,1999,17.449863013951745,9.441967420486334,0.49421516241999586
tmax,nigra_high,nigra,high,2000,17.196448049258663,8.742386949152264,0.45697188626056096
tmax,nigra_high,nigra,high,2001,17.34958902738274,9.3421725021963,0.48899165766140196
tmax,nigra_high,nigra,high,2002,17.141643839666287,8.569045194021793,0.4485243248307706
tmax,nigra_high,nigra,high,2003,16.512328767654015,9.851222162903852,0.5156365346814784
tmax,nigra_high,nigra,high,2004,15.848360642220804,8.46641294621607,0.4425464940405496
tmax,nigra_high,nigra,high,2005,16.17999998849549,8.825282721404202,0.4619364100005024
tmax,nigra_high,nigra,high,2006,15.946849290985767,8.798505867556173,0.4605348454129264
tmax,nigra_high,nigra,high,2007,15.656164395237623,8.250933804108305,0.4318736136778563
tmax,nigra_high,nigra,high,2008,15.120491816738589,8.352697279596702,0.43660248092666326
tmax,nigra_high,nigra,high,2009,16.83753419167375,9.31124740821311,0.4873729642614867
tmax,nigra_high,nigra,high,2010,15.731506862093324,8.935524201919351,0.4677067128168416
tmax,nigra_high,nigra,high,2011,16.289315070068998,8.474487926358524,0.4435749712357985
tmax,nigra_high,nigra,high,2012,16.677322415176963,9.680422512875145,0.5060037906394331
tmax,nigra_high,nigra,high,2013,15.514520561817575,8.708047473630208,0.4558000366749324
tmax,nigra_high,nigra,high,2014,16.298904136435628,8.290176817614446,0.43392768688422084
tmax,nigra_high,nigra,high,2015,16.882465746488474,8.389348885495018,0.439118590162364
tmax,nigra_high,nigra,high,2016,16.258469968545633,8.48004728428847,0.44325917230829237
tmax,nigra_high,nigra,high,2017,17.394520533452294,8.712989112677091,0.4560586938843269
tmax,nigra_high,nigra,high,2018,15.666575326515387,8.67415514294507,0.45402603100763844
tmax,nigra_high,nigra,high,2019,17.042739736319405,8.472592101714955,0.4434757392386505
tmax,nigra_high,nigra,high,2020,17.373770481087472,8.678916073209969,0.453654210427787
tmax,nigra_high,nigra,high,2021,16.962191734697722,8.77843541208768,0.4594843097599773
tmax,nigra_high,nigra,high,2022,17.542325567644696,10.07897892480614,0.6873806574359987
tmax,nigra_low,nigra,low,1971,14.83561643568212,8.555217694343842,0.4478005604186658
tmax,nigra_low,nigra,low,1972,14.944535494502125,7.794329476601345,0.40741612831541263
tmax,nigra_low,nigra,low,1973,16.45561646018943,8.277365752510509,0.43325712508929465
tmax,nigra_low,nigra,low,1974,16.473424627029733,7.630208933340616,0.3993833890072036
tmax,nigra_low,nigra,low,1975,15.674520597065964,8.158110176927574,0.42701500297305733
tmax,nigra_low,nigra,low,1976,14.613387981562015,7.562532811703077,0.39529992254649043
tmax,nigra_low,nigra,low,1977,15.549041085373865,7.009591544280715,0.3668987901862606
tmax,nigra_low,nigra,low,1978,15.317534254675042,8.299521309891668,0.4344167999644566
tmax,nigra_low,nigra,low,1979,15.88410962787393,8.36745855972344,0.4379727981441503
tmax,nigra_low,nigra,low,1980,15.90710378206167,8.414397547116659,0.43982760557458445
tmax,nigra_low,nigra,low,1981,17.77780823472836,7.833811355865398,0.41004042687188275
tmax,nigra_low,nigra,low,1982,16.61698632828177,8.235922828183629,0.4310879032878162
tmax,nigra_low,nigra,low,1983,18.340821901821112,7.934276994052155,0.4152990387144069
tmax,nigra_low,nigra,low,1984,15.724863375796646,8.25580472782373,0.43153782611261526
tmax,nigra_low,nigra,low,1985,17.53452050522582,8.75570843645365,0.4582947254864797
tmax,nigra_low,nigra,low,1986,17.276438368836494,8.476427779013573,0.44367650776439377
tmax,nigra_low,nigra,low,1987,18.01890413287568,8.058235812353344,0.42178733980589245
tmax,nigra_low,nigra,low,1988,17.59945353653913,8.136674961342697,0.425310813465469
tmax,nigra_low,nigra,low,1989,17.114246570247495,8.169849755494898,0.4276294805993838
tmax,nigra_low,nigra,low,1990,16.957260273743984,8.050928761033399,0.4214048712594471
tmax,nigra_low,nigra,low,1991,16.632602759583357,9.035221410753298,0.4729251032287576
tmax,nigra_low,nigra,low,1992,16.223224060782968,7.740658100013921,0.4046106805195181
tmax,nigra_low,nigra,low,1993,16.023835631755933,7.934706498982602,0.41532152002995354
tmax,nigra_low,nigra,low,1994,18.42876711904186,8.792964820623181,0.4602448137608341
tmax,nigra_low,nigra,low,1995,18.00383558012035,7.362653428632907,0.38537889382873225
tmax,nigra_low,nigra,low,1996,15.869398883457393,8.046011025213662,0.4205717336066543
tmax,nigra_low,nigra,low,1997,17.091780795136543,6.8601163088303485,0.3590748987793079
tmax,nigra_low,nigra,low,1998,17.872602706147383,8.16849782241494,0.4275587171878047
tmax,nigra_low,nigra,low,1999,18.174520519498277,9.128239744893213,0.4777939053615897
tmax,nigra_low,nigra,low,2000,17.945355180182744,8.461080447072826,0.4422677598451697
tmax,nigra_low,nigra,low,2001,18.04958907055528,9.0328601227778,0.47280150776730756
tmax,nigra_low,nigra,low,2002,17.84164383182787,8.247318389022707,0.4316843742032668
tmax,nigra_low,nigra,low,2003,17.31753422599541,9.542128654259324,0.4994578410072893
tmax,nigra_low,nigra,low,2004,16.780054677705294,8.335398085345975,0.4356982375577159
tmax,nigra_low,nigra,low,2005,17.11068495401781,8.722436718294814,0.4565532041634783
tmax,nigra_low,nigra,low,2006,16.923835616813946,8.648305878743603,0.4526730186811982
tmax,nigra_low,nigra,low,2007,16.609315050138186,8.070770090460329,0.42244341390725193
tmax,nigra_low,nigra,low,2008,16.11967212511379,8.217245167125675,0.42952228558712097
tmax,nigra_low,nigra,low,2009,17.669589068791637,9.062628940607691,0.4743596789072471
