Specie,elev_code,sp_elev,sp_code,npp_tau,npp_pvalue_mk,npp_senslope,npp_pvalue_sen,ypos,p_value_string,taulabel
P. halepensis,high,halepensis_high,halepensis,-0.20346321165561676,0.19459514319896698,-2.7349999999999994,0.19459514049618595,1075,,"tau == ""−0.203"""
P. halepensis,low,halepensis_low,halepensis,-0.12554113566875458,0.4297952651977539,-0.9437499999999979,0.4297952723395559,1025,,"tau == ""−0.126"""
P. halepensis,medium,halepensis_medium,halepensis,-0.11688312143087387,0.4634692668914795,-1.1818181818181819,0.46346928023769884,1050,,"tau == ""−0.117"""
P. nigra,high,nigra_high,nigra,0.03896104171872139,0.8215253353118896,0.9153846153846137,0.8215254231894769,1075,,"tau == ""0.039"""
P. nigra,low,nigra_low,nigra,-0.021645022556185722,0.9101957082748413,-0.42000000000000454,0.9101956836196836,1025,,"tau == ""−0.022"""
P. nigra,medium,nigra_medium,nigra,-0.09544491022825241,0.5535880327224731,-1.2200000000000046,0.5535880654873964,1050,,"tau == ""−0.095"""
P. pinaster,high,pinaster_high,pinaster,-0.012987013906240463,0.9550264477729797,-0.14999999999997726,0.9550264552939917,1075,,"tau == ""−0.013"""
P. pinaster,low,pinaster_low,pinaster,-0.0476190522313118,0.777959406375885,-0.8999999999999974,0.777959384381542,1025,,"tau == ""−0.048"""
P. pinaster,low-Dec,pinaster_low-Dec,pinaster,-0.004329004790633917,1,-0.09999999999999838,1,1000,,"tau == ""−0.004"""
P. pinaster,medium,pinaster_medium,pinaster,-0.10822511464357376,0.49856436252593994,-1.6499999999999961,0.4985643870063699,1050,,"tau == ""−0.108"""
P. sylvestris,high,sylvestris_high,sylvestris,-0.22943724691867828,0.14256863296031952,-3.9,0.14256865901357516,1075,,"tau == ""−0.229"""
P. sylvestris,low,sylvestris_low,sylvestris,0.08225108683109283,0.6117600202560425,1.1687499999999957,0.6117600292546322,1025,,"tau == ""0.082"""
P. sylvestris,medium,sylvestris_medium,sylvestris,0.19480520486831665,0.21471333503723145,2.1999999999999886,0.21471330142519168,1050,,"tau == ""0.195"""
