ID,value,layer,type,soil_var,res,site_code,sp_code,elev_code
1,0.2903999984264374,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,0.28690001368522644,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PINIG_LANTEIRA_M,nigra,medium
3,0.27889999747276306,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PINIG_LANTEIRA_L2,nigra,low
4,0.2531999945640564,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PINIG_LANTEIRA_H,nigra,high
5,0.27810001373291016,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,0.25940001010894775,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_JEREZ_L,pinaster,low
7,0.24779999256134033,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_JEREZ_M,pinaster,medium
8,0.21310000121593475,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIPIN_JEREZ_H,pinaster,high
9,0.210099995136261,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PISYL_PORTUGOS_L,sylvestris,low
10,0.21789999306201935,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PISYL_PORTUGOS_M,sylvestris,medium
11,0.2061000019311905,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PISYL_PORTUGOS_H,sylvestris,high
12,0.29089999198913574,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIHAL_NACIMIENTO_L,halepensis,low
13,0.2134999930858612,fc25knn,Capacidad de Campo Subsuperficial,cc_sub,250,PIHAL_RAGUA_H,halepensis,high
1,0.2554999887943268,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,0.24120000004768372,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PINIG_LANTEIRA_M,nigra,medium
3,0.2401999980211258,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PINIG_LANTEIRA_L2,nigra,low
4,0.23770000040531158,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PINIG_LANTEIRA_H,nigra,high
5,0.24529999494552612,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,0.211899995803833,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_JEREZ_L,pinaster,low
7,0.2371000051498413,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_JEREZ_M,pinaster,medium
8,0.24729999899864197,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIPIN_JEREZ_H,pinaster,high
9,0.24619999527931213,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PISYL_PORTUGOS_L,sylvestris,low
10,0.24420000612735748,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PISYL_PORTUGOS_M,sylvestris,medium
11,0.2513999938964844,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PISYL_PORTUGOS_H,sylvestris,high
12,0.23520000278949738,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIHAL_NACIMIENTO_L,halepensis,low
13,0.19269999861717224,fc025knn,Capacidad de Campo Superficial,cc_sup,250,PIHAL_RAGUA_H,halepensis,high
1,20.630510330200195,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIHAL_NACIMIENTO_M,halepensis,medium
2,21.71750831604004,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PINIG_LANTEIRA_M,nigra,medium
3,24.133481979370117,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PINIG_LANTEIRA_L2,nigra,low
4,34.37083053588867,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PINIG_LANTEIRA_H,nigra,high
5,24.271129608154297,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_LANTEIRA_L2,pinaster,low2
6,31.62277603149414,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_JEREZ_L,pinaster,low
7,36.924957275390625,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_JEREZ_M,pinaster,medium
8,53.93739318847656,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PIPIN_JEREZ_H,pinaster,high
9,52.53636932373047,ks25,Conductividad Hidraulica Saturada Subsuperficial,ks_sub,250,PISYL_PORTUGOS_L,sylvestris,low
