year,IBT_ag_m2,sp_elev,sp_code,elev_code
1989,305.409982378383,nigra_high,nigra,high
1990,396.718361536848,nigra_high,nigra,high
1991,279.722911124037,nigra_high,nigra,high
1992,304.487325249292,nigra_high,nigra,high
1993,261.208355043277,nigra_high,nigra,high
1994,136.070435565078,nigra_high,nigra,high
1995,50.4526184957277,nigra_high,nigra,high
1996,113.459865078363,nigra_high,nigra,high
1997,316.377122795756,nigra_high,nigra,high
1998,336.431800199831,nigra_high,nigra,high
1999,64.1723796912272,nigra_high,nigra,high
2000,168.90070267155,nigra_high,nigra,high
2001,226.687142767073,nigra_high,nigra,high
2002,185.480456700286,nigra_high,nigra,high
2003,225.734503029216,nigra_high,nigra,high
2004,221.467234008195,nigra_high,nigra,high
2005,58.0067199006837,nigra_high,nigra,high
2006,132.799943773372,nigra_high,nigra,high
2007,101.195392498203,nigra_high,nigra,high
2008,106.486056520201,nigra_high,nigra,high
2009,182.172878300728,nigra_high,nigra,high
2010,276.347310836505,nigra_high,nigra,high
2011,217.55441575292,nigra_high,nigra,high
2012,64.6058269077105,nigra_high,nigra,high
2013,177.623766243844,nigra_high,nigra,high
2014,82.630912759477,nigra_high,nigra,high
2015,149.277335139177,nigra_high,nigra,high
2016,67.1719051748518,nigra_high,nigra,high
2017,119.072190672159,nigra_high,nigra,high
2018,133.716497674968,nigra_high,nigra,high
2019,83.13196921582,nigra_high,nigra,high
2020,186.666693449243,nigra_high,nigra,high
1963,7.2743283071167e-4,sylvestris_low,sylvestris,low
1964,0.0184356959624663,sylvestris_low,sylvestris,low
1965,0.0591218699069357,sylvestris_low,sylvestris,low
1966,0.309779537676583,sylvestris_low,sylvestris,low
1967,1.17833558757319,sylvestris_low,sylvestris,low
1968,2.70232532782688,sylvestris_low,sylvestris,low
1969,7.00727549003382,sylvestris_low,sylvestris,low
1970,8.7215345861094,sylvestris_low,sylvestris,low
1971,14.6075119315971,sylvestris_low,sylvestris,low
1972,26.2985583379343,sylvestris_low,sylvestris,low
1973,38.515855955867,sylvestris_low,sylvestris,low
1974,50.8894521404956,sylvestris_low,sylvestris,low
1975,61.7259089003957,sylvestris_low,sylvestris,low
1976,101.104386932623,sylvestris_low,sylvestris,low
1977,125.762210224074,sylvestris_low,sylvestris,low
1978,163.645334513925,sylvestris_low,sylvestris,low
1979,154.268690426436,sylvestris_low,sylvestris,low
1980,164.684117341504,sylvestris_low,sylvestris,low
1981,138.173196394607,sylvestris_low,sylvestris,low
1982,160.565907068571,sylvestris_low,sylvestris,low
1983,118.571541549078,sylvestris_low,sylvestris,low
1984,159.997002620397,sylvestris_low,sylvestris,low
1985,132.779313844726,sylvestris_low,sylvestris,low
1986,110.358204579384,sylvestris_low,sylvestris,low
1987,101.927630320349,sylvestris_low,sylvestris,low
1988,119.414446970667,sylvestris_low,sylvestris,low
1989,123.312453063214,sylvestris_low,sylvestris,low
1990,132.947158626041,sylvestris_low,sylvestris,low
1991,98.1974223678988,sylvestris_low,sylvestris,low
1992,88.4770166712392,sylvestris_low,sylvestris,low
1993,71.5319873149436,sylvestris_low,sylvestris,low
1994,56.1374216842424,sylvestris_low,sylvestris,low
1995,15.8482443464768,sylvestris_low,sylvestris,low
1996,66.863173595462,sylvestris_low,sylvestris,low
1997,63.9350359304056,sylvestris_low,sylvestris,low
1998,128.066189540473,sylvestris_low,sylvestris,low
1999,73.6043797504482,sylvestris_low,sylvestris,low
2000,148.279243164475,sylvestris_low,sylvestris,low
2001,155.14236317016,sylvestris_low,sylvestris,low
2002,117.242955145263,sylvestris_low,sylvestris,low
2003,125.811219917319,sylvestris_low,sylvestris,low
2004,140.209737769433,sylvestris_low,sylvestris,low
2005,68.2511574253691,sylvestris_low,sylvestris,low
2006,79.284233987518,sylvestris_low,sylvestris,low
2007,71.3619921506315,sylvestris_low,sylvestris,low
2008,92.125616711564,sylvestris_low,sylvestris,low
2009,84.1953075318964,sylvestris_low,sylvestris,low
2010,106.225100646613,sylvestris_low,sylvestris,low
2011,148.531672205642,sylvestris_low,sylvestris,low
2012,69.8595461194127,sylvestris_low,sylvestris,low
2013,165.858637915376,sylvestris_low,sylvestris,low
2014,102.445582661784,sylvestris_low,sylvestris,low
2015,91.9680105315761,sylvestris_low,sylvestris,low
2016,71.311148504909,sylvestris_low,sylvestris,low
2017,86.3193073805846,sylvestris_low,sylvestris,low
2018,94.2843436194798,sylvestris_low,sylvestris,low
