prec,modelo,type_value,value,name_modelo,type
36,mprecrat3,predicted,5.396660046575691e-4,Prec (Log-normal),univariate
37,mprecrat3,peffect,0.0018520887638385007,Prec (Log-normal),univariate
37,mprecrat3,predicted,5.994168978915536e-4,Prec (Log-normal),univariate
38,mprecrat3,peffect,0.0020496844209881224,Prec (Log-normal),univariate
38,mprecrat3,predicted,6.633674914905314e-4,Prec (Log-normal),univariate
39,mprecrat3,peffect,0.002260605633991963,Prec (Log-normal),univariate
39,mprecrat3,predicted,7.316308175615005e-4,Prec (Log-normal),univariate
40,mprecrat3,peffect,0.0024851873304969525,Prec (Log-normal),univariate
40,mprecrat3,predicted,8.043152733341515e-4,Prec (Log-normal),univariate
41,mprecrat3,peffect,0.002723750085604957,Prec (Log-normal),univariate
41,mprecrat3,predicted,8.815246109270941e-4,Prec (Log-normal),univariate
42,mprecrat3,peffect,0.002976600138399558,Prec (Log-normal),univariate
42,mprecrat3,predicted,9.63357942696646e-4,Prec (Log-normal),univariate
43,mprecrat3,peffect,0.0032440294511191224,Prec (Log-normal),univariate
43,mprecrat3,predicted,0.001049909760387825,Prec (Log-normal),univariate
44,mprecrat3,peffect,0.0035263158059685973,Prec (Log-normal),univariate
44,mprecrat3,predicted,0.0011412699664668797,Prec (Log-normal),univariate
45,mprecrat3,peffect,0.003823722935018313,Prec (Log-normal),univariate
45,mprecrat3,predicted,0.0012375239161622187,Prec (Log-normal),univariate
46,mprecrat3,peffect,0.004136500679058107,Prec (Log-normal),univariate
46,mprecrat3,predicted,0.0013387524688765527,Prec (Log-normal),univariate
47,mprecrat3,peffect,0.004464885171661802,Prec (Log-normal),univariate
47,mprecrat3,predicted,0.0014450320477582066,Prec (Log-normal),univariate
48,mprecrat3,peffect,0.004809099045071351,Prec (Log-normal),univariate
48,mprecrat3,predicted,0.001556434706334229,Prec (Log-normal),univariate
49,mprecrat3,peffect,0.005169351654835227,Prec (Log-normal),univariate
49,mprecrat3,predicted,0.0016730282012131972,Prec (Log-normal),univariate
50,mprecrat3,peffect,0.005545839320432737,Prec (Log-normal),univariate
50,mprecrat3,predicted,0.0017948760699617657,Prec (Log-normal),univariate
51,mprecrat3,peffect,0.005938745579387728,Prec (Log-normal),univariate
51,mprecrat3,predicted,0.0019220377133469706,Prec (Log-normal),univariate
52,mprecrat3,peffect,0.006348241452623076,Prec (Log-normal),univariate
52,mprecrat3,predicted,0.0020545684812165437,Prec (Log-normal),univariate
53,mprecrat3,peffect,0.0067744857190334285,Prec (Log-normal),univariate
53,mprecrat3,predicted,0.0021925197613626574,Prec (Log-normal),univariate
54,mprecrat3,peffect,0.007217625197459682,Prec (Log-normal),univariate
54,mprecrat3,predicted,0.0023359390707811925,Prec (Log-normal),univariate
55,mprecrat3,peffect,0.007677795034436188,Prec (Log-normal),univariate
55,mprecrat3,predicted,0.0024848701487993146,Prec (Log-normal),univariate
56,mprecrat3,peffect,0.008155118996252266,Prec (Log-normal),univariate
56,mprecrat3,predicted,0.0026393530515993495,Prec (Log-normal),univariate
57,mprecrat3,peffect,0.008649709764024505,Prec (Log-normal),univariate
57,mprecrat3,predicted,0.00279942424771708,Prec (Log-normal),univariate
58,mprecrat3,peffect,0.009161669230617377,Prec (Log-normal),univariate
58,mprecrat3,predicted,0.002965116714138237,Prec (Log-normal),univariate
59,mprecrat3,peffect,0.009691088798377214,Prec (Log-normal),univariate
59,mprecrat3,predicted,0.0031364600326582344,Prec (Log-normal),univariate
60,mprecrat3,peffect,0.010238049676760976,Prec (Log-normal),univariate
60,mprecrat3,predicted,0.003313480486207848,Prec (Log-normal),univariate
61,mprecrat3,peffect,0.010802623179046074,Prec (Log-normal),univariate
61,mprecrat3,predicted,0.0034962011548814865,Prec (Log-normal),univariate
62,mprecrat3,peffect,0.01138487101740283,Prec (Log-normal),univariate
62,mprecrat3,predicted,0.0036846420114355423,Prec (Log-normal),univariate
63,mprecrat3,peffect,0.011984845595697555,Prec (Log-normal),univariate
63,mprecrat3,predicted,0.0038788200160522674,Prec (Log-normal),univariate
64,mprecrat3,peffect,0.012602590299472511,Prec (Log-normal),univariate
64,mprecrat3,predicted,0.004078749210189967,Prec (Log-normal),univariate
65,mprecrat3,peffect,0.013238139782618777,Prec (Log-normal),univariate
65,mprecrat3,predicted,0.004284440809362875,Prec (Log-normal),univariate
66,mprecrat3,peffect,0.013891520250323223,Prec (Log-normal),univariate
66,mprecrat3,predicted,0.004495903294715161,Prec (Log-normal),univariate
67,mprecrat3,peffect,0.014562749737926824,Prec (Log-normal),univariate
67,mprecrat3,predicted,0.004713142503271674,Prec (Log-normal),univariate
68,mprecrat3,peffect,0.015251838385385182,Prec (Log-normal),univariate
68,mprecrat3,predicted,0.004936161716765371,Prec (Log-normal),univariate
69,mprecrat3,peffect,0.015958788707067566,Prec (Log-normal),univariate
69,mprecrat3,predicted,0.005164961748956075,Prec (Log-normal),univariate
70,mprecrat3,peffect,0.016683595856673585,Prec (Log-normal),univariate
70,mprecrat3,predicted,0.005399541031369099,Prec (Log-normal),univariate
71,mprecrat3,peffect,0.017426247887085144,Prec (Log-normal),univariate
71,mprecrat3,predicted,0.005639895697394694,Prec (Log-normal),univariate
72,mprecrat3,peffect,0.01818672600500426,Prec (Log-normal),univariate
72,mprecrat3,predicted,0.005886019664699985,Prec (Log-normal),univariate
73,mprecrat3,peffect,0.018965004820258903,Prec (Log-normal),univariate
73,mprecrat3,predicted,0.0061379047159152355,Prec (Log-normal),univariate
74,mprecrat3,peffect,0.019761052589686252,Prec (Log-normal),univariate
74,mprecrat3,predicted,0.006395540577565137,Prec (Log-normal),univariate
75,mprecrat3,peffect,0.020574831455526705,Prec (Log-normal),univariate
75,mprecrat3,predicted,0.006658914997223527,Prec (Log-normal),univariate
76,mprecrat3,peffect,0.021406297678285297,Prec (Log-normal),univariate
76,mprecrat3,predicted,0.006928013818877532,Prec (Log-normal),univariate
