sp_elev,sp_code,elev_code,year,mean,sd,se,cv,median,sum,min,max,n,iv
halepensis_high,halepensis,high,1986,0.4568446580918972,NA,NA,NA,0.4568446580918972,0.4568446580918972,0.4568446580918972,0.4568446580918972,1,ndvi
halepensis_high,halepensis,high,1987,0.37604470057223405,0.08589987715736386,0.024797158600079906,22.84299633172558,0.3481804408564729,4.512536406866808,0.2599140154772141,0.5176959253029421,12,ndvi
halepensis_high,halepensis,high,1988,0.3845498766161634,0.085258148768801,0.028419382922933667,22.17089484438998,0.3984098939929331,3.4609488895454708,0.2480103020963078,0.4963796461208117,9,ndvi
halepensis_high,halepensis,high,1989,0.3834069143981623,0.03762372019239007,0.01535981944943397,9.81299991718939,0.3737401737494307,2.300441486388974,0.3313751397499747,0.4380568034721694,6,ndvi
halepensis_high,halepensis,high,1990,0.4400501964572951,0.08520517812410727,0.024596616263151676,19.362604268800972,0.4099297463035613,5.280602357487541,0.33989209266582354,0.6109469045571797,12,ndvi
halepensis_high,halepensis,high,1991,0.3678924199161254,0.15349958373859035,0.06864710075148187,41.72404089586467,0.32088681446907835,1.8394620995806272,0.20545761373020707,0.6126326824793605,5,ndvi
halepensis_high,halepensis,high,1992,0.3870626961152436,0.028195104264938656,0.009968474710999936,7.284376548791434,0.39086295986792696,3.0965015689219486,0.3386768447837152,0.42731119718782906,8,ndvi
halepensis_high,halepensis,high,1993,0.3792772519232568,0.0400092170181544,0.015122062625778534,10.548804816337864,0.39013254957540006,2.6549407634627977,0.3248690214635796,0.43160063173796626,7,ndvi
halepensis_high,halepensis,high,1994,0.4020986566820135,0.09415578418755599,0.025164191815204424,23.416090211416947,0.40718070274798807,5.6293811935481886,0.22638124219450848,0.5321947489166454,14,ndvi
halepensis_high,halepensis,high,1995,0.3779220616304194,0.0750292588386245,0.03355410461291826,19.85310371004425,0.3833844476248895,1.8896103081520972,0.29615720871085677,0.46757246996817137,5,ndvi
