tmed,modelo,type_value,value,name_modelo,type
5,mtrat3,teffect,0.9889320871275086,Temp (Log-normal),univariate
5,mtrat6,teffect,0.9998127660996268,Temp (Logistic_Mod),univariate
5,mtrat3,predicted,1.186705489726732,Temp (Log-normal),univariate
5,mtrat6,predicted,0.5581072429855414,Temp (Logistic_Mod),univariate
5.1,mtrat3,teffect,0.9815539677436651,Temp (Log-normal),univariate
5.1,mtrat6,teffect,0.9997780886502239,Temp (Logistic_Mod),univariate
5.1,mtrat3,predicted,1.1778518435657521,Temp (Log-normal),univariate
5.1,mtrat6,predicted,0.5580878856255074,Temp (Logistic_Mod),univariate
5.2,mtrat3,teffect,0.9725613633803817,Temp (Log-normal),univariate
5.2,mtrat6,teffect,0.9997369907225635,Temp (Logistic_Mod),univariate
5.2,mtrat3,predicted,1.1670608366768502,Temp (Log-normal),univariate
5.2,mtrat6,predicted,0.5580649442790105,Temp (Logistic_Mod),univariate
5.3,mtrat3,teffect,0.9620963837745716,Temp (Log-normal),univariate
5.3,mtrat6,teffect,0.999688284426846,Temp (Logistic_Mod),univariate
5.3,mtrat3,predicted,1.1545029988740894,Temp (Log-normal),univariate
5.3,mtrat6,predicted,0.5580377558519964,Temp (Logistic_Mod),univariate
5.4,mtrat3,teffect,0.9502973238358431,Temp (Log-normal),univariate
5.4,mtrat6,teffect,0.9996305624397281,Temp (Logistic_Mod),univariate
5.4,mtrat3,predicted,1.1403442822289709,Temp (Log-normal),univariate
5.4,mtrat6,predicted,0.5580055347600257,Temp (Logistic_Mod),univariate
5.5,mtrat3,teffect,0.937297889116322,Temp (Log-normal),univariate
5.5,mtrat6,teffect,0.9995621576088605,Temp (Logistic_Mod),univariate
5.5,mtrat3,predicted,1.1247451316444161,Temp (Log-normal),univariate
5.5,mtrat6,predicted,0.5579673503790527,Temp (Logistic_Mod),univariate
5.6,mtrat3,teffect,0.9232265864782164,Temp (Log-normal),univariate
5.6,mtrat6,teffect,0.9994810951775002,Temp (Logistic_Mod),univariate
5.6,mtrat3,predicted,1.1078597536638624,Temp (Log-normal),univariate
5.6,mtrat6,predicted,0.557922100376642,Temp (Logistic_Mod),univariate
5.7,mtrat3,teffect,0.9082062608660151,Temp (Log-normal),univariate
5.7,mtrat6,teffect,0.9993850363038288,Temp (Logistic_Mod),univariate
5.7,mtrat3,predicted,1.0898355606039964,Temp (Log-normal),univariate
5.7,mtrat6,predicted,0.5578684791837879,Temp (Logistic_Mod),univariate
5.8,mtrat3,teffect,0.8923537602019319,Temp (Log-normal),univariate
5.8,mtrat6,teffect,0.9992712113208984,Temp (Logistic_Mod),univariate
5.8,mtrat3,predicted,1.0708127684336999,Temp (Log-normal),univariate
5.8,mtrat6,predicted,0.557804940739831,Temp (Logistic_Mod),univariate
5.9,mtrat3,teffect,0.8757797116694604,Temp (Log-normal),univariate
5.9,mtrat6,teffect,0.9991363409187883,Temp (Logistic_Mod),univariate
5.9,mtrat3,predicted,1.0509241283172575,Temp (Log-normal),univariate
5.9,mtrat6,predicted,0.5577296544954119,Temp (Logistic_Mod),univariate
6,mtrat3,teffect,0.858588393968647,Temp (Log-normal),univariate
6,mtrat6,teffect,0.9989765431266717,Temp (Logistic_Mod),univariate
6,mtrat3,predicted,1.0302947733223666,Temp (Log-normal),univariate
6,mtrat6,predicted,0.5576404534887661,Temp (Logistic_Mod),univariate
6.1,mtrat3,teffect,0.8408776914698984,Temp (Log-normal),univariate
6.1,mtrat6,teffect,0.9987872236254465,Temp (Logistic_Mod),univariate
6.1,mtrat3,predicted,1.00904216340531,Temp (Log-normal),univariate
6.1,mtrat6,predicted,0.5575347731169457,Temp (Logistic_Mod),univariate
6.2,mtrat3,teffect,0.8227391175244237,Temp (Log-normal),univariate
